Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Net_Pressure,Children in HHS Care_lag1,Children in HHS Care_lag7,Children in HHS Care_lag14,Net_Pressure_lag1,Net_Pressure_lag7,Net_Pressure_lag14,CareLoad_roll7_mean,CareLoad_roll7_std,CareLoad_roll14_mean,CareLoad_roll14_std,day_of_week,month,is_weekend
2023-01-12,33.0,53.0,34.0,6566.0,436.0,-402.0,,,,,,,,,,,3,1,0
2023-01-13,32.9,52.6,34.5,6621.6,415.1,-380.6,6566.0,,,-402.0,,,,,,,4,1,0
2023-01-14,32.8,52.2,35.0,6677.2,394.2,-359.2,6621.6,,,-380.6,,,,,,,5,1,1
2023-01-15,32.7,51.8,35.5,6732.8,373.3,-337.8,6677.2,,,-359.2,,,,,,,6,1,1
2023-01-16,32.6,51.4,36.0,6788.4,352.4,-316.4,6732.8,,,-337.8,,,,,,,0,1,0
2023-01-17,32.5,51.0,36.5,6844.0,331.5,-295.0,6788.4,,,-316.4,,,,,,,1,1,0
2023-01-18,32.4,50.6,37.0,6899.6,310.6,-273.6,6844.0,,,-295.0,,,6732.8,120.10972761049176,,,2,1,0
2023-01-19,32.3,50.2,37.5,6955.2,289.7,-252.2,6899.6,6566.0,,-273.6,-402.0,,6788.400000000001,120.10972761049108,,,3,1,0
2023-01-20,32.2,49.8,38.0,7010.8,268.79999999999995,-230.79999999999995,6955.2,6621.6,,-252.2,-380.6,,6844.0,120.1097276104904,,,4,1,0
2023-01-21,32.1,49.4,38.5,7066.4,247.9,-209.4,7010.8,6677.2,,-230.79999999999995,-359.2,,6899.599999999999,120.10972761048936,,,5,1,1
2023-01-22,32.0,49.0,39.0,7122.0,227.0,-188.0,7066.4,6732.8,,-209.4,-337.8,,6955.2,120.1097276104887,,,6,1,1
2023-01-23,32.0,50.0,39.0,7280.0,181.0,-142.0,7122.0,6788.4,,-188.0,-316.4,,7025.428571428572,147.02976698937945,,,0,1,0
2023-01-24,47.0,42.0,47.0,7433.0,175.0,-128.0,7280.0,6844.0,,-142.0,-295.0,,7109.571428571428,188.5667495811961,,,1,1,0
